,task-clock,page-faults,cycles,instructions,branches,branch-misses,L1-dcache-loads,L1-dcache-misses,cpu/cache-misses/,LLC-loads,LLC-misses,cpu/cache-references/,power/energy-cores/,EPI,Frequency(Mhz)
0,24012.934547999997,147,23852278119,33497506997,9916865264,20506428,9927510136,1944695,1140057,418623,83058,5760763,15.65,4.671989471157241e-10,1000
1,24007.311208000003,143,23834390027,33464122827,9907419462,20516172,9919136320,1952096,1206141,356266,101048,5904812,15.59,4.658720648557223e-10,1000
2,24008.336694,149,23845568401,33477515909,9911416701,20489272,9919765566,2108525,1674250,390650,122415,4676877,15.58,4.6538697919971767e-10,1000
3,24007.255569999998,540,23823883448,33467861292,9913667463,20373615,9925758110,1979689,1863127,555883,111099,5395671,15.58,4.6552123137083066e-10,1000
4,24007.321984000002,139,23836682688,33483908565,9915035699,20511627,9926502152,2110409,1573137,424856,87802,5082172,15.59,4.6559677971095306e-10,1000
5,24007.676962999998,347,23819664070,33465739253,9914131279,20377011,9924314388,1887930,1323349,362526,72468,3371769,15.59,4.658495628063095e-10,1000
6,24007.861052,370,23825617360,33464352865,9910025106,20413794,9923604279,1990854,1779664,502765,121227,5897104,15.59,4.65868862394928e-10,1000
7,24007.561383,140,23842585028,33479542991,9914449487,20352588,9923481132,1760224,1230233,373078,95223,4228496,15.57,4.6506011160861847e-10,1000
8,24011.901151,353,23821750210,33481299505,9920440342,20445437,9926795970,2103530,1948773,441097,80625,4636208,15.6,4.659317359432343e-10,1000
9,24008.147531,553,23841980768,33471716871,9911577747,20536246,9923249888,1934042,1566624,448205,112215,6691921,15.59,4.657663680678186e-10,1000
10,24008.130516,142,23818551483,33473493176,9914793062,20392876,9924231985,1881701,1739196,457670,115638,4523649,15.59,4.657416517012273e-10,1000
11,24008.035913,139,23832611180,33475854192,9912399299,20432249,9919546699,2048835,1528105,432541,81970,4863136,15.6,4.660075262165547e-10,1000
12,24007.652008,146,23845100025,33488618574,9917498800,20440495,9924455672,2422023,2418213,655034,133551,4874700,16.26,4.855380930112176e-10,1000
13,24007.979677,536,23823797566,33488567349,9909692352,20501583,9924905458,2384247,1935045,643339,153338,5963951,15.6,4.658306172797753e-10,1000
14,24007.217962,346,23835216465,33470211480,9913623298,20372617,9922636179,1914833,2005796,574776,157044,6347620,15.59,4.657873168598217e-10,1000
15,24007.647673,145,23842992086,33463539090,9908010549,20410104,9922703499,1737046,1184912,430660,137316,6301996,15.59,4.658801915144355e-10,1000
16,24007.409192,140,23825134141,33468591167,9907233092,20385136,9924408595,1649785,856156,452182,119829,6400948,15.61,4.664074421928893e-10,1000
17,24007.214419,530,23833396614,33362750733,9815976738,22055535,9842989779,13172730,3979407,3248852,257156,29986150,15.63,4.684865503173258e-10,1000
18,24008.068512,1688,23846032812,33472362451,9909375306,20603829,9919106151,2282062,2131106,561434,153802,7462236,15.59,4.657573848521183e-10,1000
19,24008.159364,939,23831604558,33470376208,9909632320,20440595,9924314091,1713645,1306985,426266,112005,6637047,15.59,4.65785024438229e-10,1000
20,24007.471639,744,23839820230,33473169420,9912747426,20403798,9923952620,2248320,1738504,495319,101933,4091601,15.59,4.657461564032558e-10,1000
21,24008.242825999998,742,23846919195,33462584768,9911161731,20416737,9922358122,1991841,1441378,424906,87133,5168411,15.6,4.661923192173174e-10,1000
22,24007.595175,942,23831009260,33459915240,9908539017,20489939,9919200595,2530628,2056307,567870,112899,5299393,15.6,4.662295133775718e-10,1000
23,24008.150542,946,23844457363,33484293351,9913009305,20384603,9924363293,1876186,1727996,627842,120508,6903863,15.59,4.655914292882758e-10,1000
24,24007.383566999997,1333,23830867138,33455828490,9908777794,20496916,9926254256,2022712,1326649,514112,108541,6771343,15.59,4.659875634124522e-10,1000
25,24007.917547,743,23841302005,33467368270,9907713292,20487375,9917832622,2437943,2130569,558120,141317,4627103,15.6,4.661256861951637e-10,1000
26,24008.014362,738,23819745280,33472637994,9915296578,20468298,9927783267,2077035,1586172,442895,114640,5523775,15.63,4.669485566928335e-10,1000
27,24007.191049,2575,23834279401,33434836990,9891073198,20691610,9899545887,3186431,2843926,693374,154612,8462439,15.6,4.665792151062616e-10,1000
28,24008.115154,1531,23845748250,33458086834,9900839624,20507979,9919557158,2452105,2394938,777751,190692,7789170,15.61,4.665538731323146e-10,1000
29,24007.233501,12043,23823960020,33456728070,9567211210,33480224,9896985878,29620881,14266174,2273562,558275,42982355,15.8,4.722517984108421e-10,1000
30,24008.397388,4292,23845107829,33461846274,9858378545,20852567,9931273979,5033656,2889017,659974,224996,11303277,15.65,4.676968470852165e-10,1000
31,24007.501127,736,23822208751,33471612366,9912850937,20377156,9923656245,1891444,1383539,443065,92181,5377122,15.61,4.663653435427694e-10,1000
32,24007.589129,944,23831238900,33461779005,9907316251,20478240,9921286123,2128378,2113637,699115,169896,6880115,15.64,4.673989388807752e-10,1000
33,24008.262645,1143,23844725726,33488553914,9908267035,20594043,9927988177,2346414,1934076,571164,166490,7229261,15.65,4.67323851611803e-10,1000
34,24007.361591,747,23822041034,33470683887,9910216582,20431523,9924210967,1987291,1186448,411066,90753,5150326,15.6,4.660795116307448e-10,1000
35,24009.039933,1132,23822782255,33464233661,9906422263,20473089,9918621159,2468398,2374797,602985,133442,5906514,15.61,4.664681748918177e-10,1000
36,24007.805806,740,23838027642,33472553286,9914327114,20389437,9927886830,1930543,1368061,502683,97809,5605872,15.62,4.666509861538741e-10,1000
37,24007.725118000002,1330,23815769977,33273760421,9801587358,22400988,9832493368,13154811,3684829,3678875,303194,37971381,15.65,4.703405867562492e-10,1000
38,24007.290373,1139,23824592059,33441636837,9903383113,20463391,9917397441,2057489,1490856,461475,134860,6260145,15.64,4.676804570371934e-10,1000
39,24007.729588,1129,23842287462,33463069669,9907668523,20453049,9918189277,2117383,1513590,482000,77225,5347815,15.6,4.661855637963707e-10,1000
40,24007.670703,739,23844360148,33486135441,9915389879,20324352,9925681532,2019452,1565331,477721,97162,4231341,15.63,4.667603410832182e-10,1000
41,24008.502743,739,23823673183,33466846921,9910863087,20367215,9926407037,1908123,1600355,538625,117209,5934078,15.62,4.667305538783415e-10,1000
42,24007.402863,1148,23825092345,33460093338,9906417321,20464376,9922600374,1854994,1344250,457202,123964,6503168,15.6,4.662270317782817e-10,1000
43,24007.273081,955,23833619542,33469589923,9908984985,20483211,9919097390,2298707,1565571,461366,97111,4666590,15.61,4.663935242682178e-10,1000
44,24007.94832,743,23844412062,33463206309,9909373058,20437565,9915102788,2202603,2432565,542129,139513,6237121,15.6,4.661836602251813e-10,1000
45,24007.809458,1930,23823181284,33447700807,9881573920,20678129,9910095609,3393688,2435180,731752,178816,8229293,15.64,4.675956679427971e-10,1000
46,24007.292830000002,669,23832601737,33487837619,9917032169,20336172,9927425772,2004201,1621604,522859,103389,4591276,15.6,4.658407681464934e-10,1000
47,24007.547627,1139,23844091754,33470073850,9911633501,20435021,9920012926,2091522,1878498,566132,141219,6176957,15.61,4.663867809183218e-10,1000
48,24007.207366,740,23824820524,33464281443,9914257068,20432615,9926384625,2212420,1824271,560159,138854,4924783,15.61,4.664675088448753e-10,1000
49,24007.404383,759,23837171187,33300698603,9857941870,20352438,9873096643,2005663,1696545,540581,163328,6847863,15.62,4.690592286431138e-10,1000
50,24008.321265000002,939,23848565085,33485433962,9915529280,20381701,9921054930,2124097,1774376,507781,91706,5188769,15.66,4.676660310800006e-10,1000
51,24007.911681,747,23824185245,33453804093,9906291484,20445599,9921989177,2070818,2082715,694324,210365,7953639,15.6,4.663146814823431e-10,1000
